"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"733","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",94100.16,NA,"8/20/14","5/31/17","8/21/14","11/24/14","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".308 165 GRAIN BONDED TACTICAL AMMO, PART NUMBER: LE308T1."
"734","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",387168.32,NA,"9/4/14","2/11/16","9/4/14","3/6/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".308 165 GRAIN BONDED TACTICAL AMMO, PN: LE308T1"
"735","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",39604.8,NA,"5/14/15","5/11/16","5/14/15","2/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",":IGF::OT::IGF .40 CALIBER 180 GRAIN DUTY AMMUNITION; PN: XM40HC"
"736","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",227799,227799,"6/4/15","5/1/23","6/4/15","10/30/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CAL, 62-GRAIN AMMO, PART #: XM223SP1PB"
"737","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",6792.1,6792.1,"6/22/15","4/12/18","6/22/15","4/11/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","31 CASES OF 12GA 7.5 SHOT (PART # TGL-12-7.5)"
"738","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",151022.3,NA,"6/4/15","5/5/16","6/4/15","10/30/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CAL, 62-GRAIN, P/N: XM223SP1PB, 900RDS PER CASE"
"739","QUALIFICATION TARGETS INC","SAFETY AND RESCUE EQUIPMENT",31270,31270,"6/8/15","5/20/22","6/8/15","8/31/15","MINNESOTA","SPORTING AND ATHLETIC GOODS MANUFACTURING","PURCHASE OF LAW ENFORCEMENT TARGETS"
"740","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",3073.28,3073.28,"7/9/15","4/19/18","7/9/15","12/24/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GAUGE STANDARD RECOIL 00 BUCKSHOT AMMUNITION."
"741","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",17869.52,17869.52,"7/16/15","5/23/22","7/16/15","8/15/15","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM 124 GRAIN, PART#: 53927"
"742","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",249757.77,249757.77,"7/30/15","8/23/21","7/30/15","2/10/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 S&W CALIBER S&W,180GR; JHP"
"743","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",249510.24,249510.24,"7/30/15","8/23/21","7/30/15","2/10/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC"
"744","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",15594.39,15594.39,"7/15/15","5/2/23","7/15/15","3/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".04 CALIBER S&W, 180 GR JHP"
"745","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",16089.45,16089.45,"7/16/15","4/28/23","7/16/15","3/27/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC AMMUNITION"
"746","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",32699,32699,"7/20/15","4/17/18","7/20/15","4/11/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".308 WIN 168 GR. BTHP (PART # GM308M) HSI-FT."
"747","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",702802.1,702802.1,"7/16/15","7/26/21","7/16/15","1/21/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::CT::IGF .223 CAL, 62-GRAIN, P/N: XM223SP1PB, 900 RDS PER CASE"
"748","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",495555.06,NA,"7/14/15","5/25/16","7/14/15","3/31/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GRAIN JHP AMMUNITION."
"749","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",25732.85,25732.85,"7/16/15","4/28/23","7/16/15","1/21/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::CT::IGF .223 CAL, 62-GRAIN, P/N: XM223SP1PB, 900 RDS PER CASE"
"750","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",18301.2,18301.2,"7/14/15","7/11/16","7/14/15","9/5/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","30 CASES OF .223 77 GR. MATCH GRADE (PART # GM223M3)"
"751","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",495307.53,NA,"7/15/15","9/28/16","7/15/15","4/6/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GRAIN JHP AMMUNITION."
"752","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",15473.7,NA,"7/24/15","4/14/16","7/24/15","8/31/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 55 GR. FRANGIBLE (PART # BC223NT5A)"
"753","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",10315.8,NA,"7/29/15","4/14/16","7/29/15","8/31/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 55 GR. FRANGIBLE (PART # BC223NT5A) AMMUNITION"
"754","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2191,2191,"8/6/15","4/30/20","8/6/15","10/28/15","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","10 CASES OF 12 GA TARGET (PART # TGL 12 7.5) - ERO FT. BENNING"
"755","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",4382,4382,"8/6/15","4/8/20","8/6/15","10/28/15","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","20 CASES CASES OF 12 GA TARGET (PART # TGL 12 7.5)  10,000 HSI/ALTOONA 10,000 HSI/FT.BENNING"
"756","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",169036,169036,"8/18/15","4/17/18","8/18/15","6/15/16","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P (124 GRAIN) GDHP, PART#: 53927"
"757","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",241480,241480,"8/19/15","8/19/21","8/19/15","6/15/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P (124 GR) GDHP, PART # 53927"
"758","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",26562.8,26562.8,"8/19/15","5/23/22","8/19/15","6/15/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P (124 GR) GDHP, PART # 53927"
"759","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2781.72,NA,"8/13/15","12/19/16","8/13/15","2/20/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P 135 GRAIN AMMUNITION FOR ICE/OPR."
"760","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",10817.8,10817.8,"8/17/15","3/18/21","8/17/15","2/22/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P 135 GRAIN AMMUNITION FOR ICE/ERO."
"761","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",30908,30908,"8/17/15","5/7/18","8/17/15","2/22/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P 135 GR FOR ICE/HSI."
"762","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1646.4,1646.4,"8/26/15","3/22/16","8/26/15","2/10/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA STANDARD VELOCITY 00 BUCKSHOT, P/N ZLE127 00DHS"
"763","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",250578.9,250578.9,"9/1/15","6/7/18","9/1/15","2/28/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223, PART# XM223SP1PB"
"764","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",582606.08,582606.08,"8/18/15","7/20/21","8/18/15","3/7/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA STANDARD VELOCITY 00 BUCKSHOT AMMUNITION, P/N ZLE127 00DHS,"
"765","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",247530,NA,"8/25/15","7/8/16","8/25/15","5/6/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP PART # XM40HC"
"766","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",45001.6,45001.6,"8/20/15","4/20/16","8/20/15","3/28/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA STANDARD VELOCITY 00 BUCKSHOT FOR FPS."
"767","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",461503.9,461503.9,"8/25/15","4/29/23","8/25/15","2/19/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON AMMUNITION, PART# XM223SP1PB"
"768","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",120740,120740,"9/3/15","4/13/18","9/3/15","4/30/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM 124 GR AMMUNITION, PART # 53927"
"769","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",13803.3,13803.3,"8/28/15","4/26/18","8/28/15","1/2/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA TARGET (PART # TGL 12 7.5) ERO @ $219.10/PER CASE FOR A TOTAL OF 63,000 ROUNDS."
"770","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",237628.8,237628.8,"9/18/15","8/19/21","9/18/15","5/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC"
"771","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2634.24,2634.24,"9/14/15","5/24/22","9/14/15","2/26/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::OT::IGF FEDERAL 12 GA STANDARD VELOCITY 00 BUCKSHOT"
"772","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",581695.5,581695.5,"9/9/15","5/17/18","9/9/15","6/27/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP AMMUNITION FOR CBP/OBP."
"773","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",581695.5,581695.5,"9/10/15","7/20/21","9/10/15","6/21/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER S&W, 180 GR JHP XM40HC"
"774","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",421850,421850,"9/1/15","4/24/18","9/1/15","2/18/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION."
"775","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",61882.5,61882.5,"9/9/15","5/24/22","9/9/15","1/9/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP (P/N XM40HC) FOR CBP/OTD/FOA"
"776","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",59654.73,59654.73,"9/3/15","4/17/18","9/3/15","5/15/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER S&W, 180 GR JHP XM40HC FOR CBP/OBP"
"777","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",469097.2,469097.2,"9/2/15","4/19/18","9/2/15","2/18/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION."
"778","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",133779.92,133779.92,"9/16/15","6/19/18","9/16/15","4/1/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","IGF::CT::IGF 9MM LUGER +P (124 GR) GDHP, PART # 53927"
"779","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",21092.5,21092.5,"9/17/15","4/6/18","9/17/15","5/15/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 AMMUNITION, PART# XM223SP1PB"
"780","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",256441.08,256441.08,"9/9/15","11/7/17","9/9/15","5/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER  S&W, 180 GR JHP;XM40HC. P/N XM40HC UNDER CONTRACT#HSCEMS-12-D-00001."
"781","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",14851.8,NA,"9/14/15","12/14/16","9/14/15","6/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 20,000 ROUNDS FOR CBP/OTD/CCFR AND 40,000 ROUND FOR CBP/OTD/CCEP OF 40 CALIBER S&W, 180 GR JHP XM40HC UNDER CONTRACT# HSCEMS-12-D-00001. PURCHASE PRICE IS $247.53 PER 1,000 ROUND CASE."
"782","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",39238.8,39238.8,"9/21/15","4/30/23","9/21/15","1/31/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".308 WIN 168 GR. BTHP (PART # GM308M)"
"783","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",6188.25,NA,"9/14/15","12/14/16","9/14/15","6/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 25,000 ROUNDS OF 40 CALIBER S&W, 180 GR JHP XM40HC FOR CBP/OIIL UNDER CONTRACT# HSCEMS-12-D-00001. PURCHASE PRICE IS $247.53 PER 1,000 ROUND CASE."
"784","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",29703.6,NA,"9/14/15","12/14/16","9/14/15","6/25/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 120,000 ROUNDS OF 40 CALIBER S&W, 180 GR JHP XM40HC FOR CBP/OIA UNDER CONTRACT# HSCEMS-12-D-00001. PURCHASE PRICE IS $247.53 PER 1,000 ROUND CASE."
"785","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",401988.72,401988.72,"9/21/15","4/30/23","9/21/15","8/1/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER S&W, 180 GR JHP XM40HC"
"786","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7650.9,7650.9,"9/14/15","12/21/20","9/14/15","10/14/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","THIS REQUIREMENTS WORKSHEET SERVES TO PLACE A .45 AUTO 230 GRAIN FMJ (PART # 53653) CBP-OTD-ATC ORDER FOR 30 CASES @ $255.03/30,000 ROUNDS). PLEASE SEE FLETC AUTHORIZATION HSFLGL-15-DJ-6046 UNDER FLETC CONTRACT HSFLGL-13-D-00006."
"787","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",18983.25,18983.25,"9/14/15","5/1/23","9/14/15","3/27/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION FOR CBP-OTD-FOA.  PURCHASE OF APPROXIMATELY 40500 ROUNDS (45 CASES) OF .223, PART# XM223SP1PB UNDER CONTRACT #: HSCEMS-13-D-00001.  PRICE OF $421.85 PER 900 ROUNDS."
"788","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",843700,843700,"9/15/15","5/25/22","9/15/15","3/31/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER (62 GRAIN) SD, PART#: XM223SP1PB"
"789","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",247625.95,247625.95,"9/15/15","4/12/18","9/15/15","3/4/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION"
"790","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",3796.65,NA,"9/15/15","9/29/16","9/15/15","2/29/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER (62 GRAIN) SD, PART# XM223SP1PB"
"791","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",51579,51579,"9/14/15","5/25/22","9/14/15","10/30/15","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 55-GR, FRANGIBLE, PART #BC223NT5A"
"792","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",120740,120740,"9/10/15","4/18/18","9/10/15","4/30/16","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","9MM 124 GR AMMUNITION, PART # 53927 (HSI)"
"793","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",35857.25,35857.25,"9/11/15","5/2/23","9/11/15","4/23/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 PART# XM223SP1PB"
"794","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",49356.45,49356.45,"9/11/15","5/25/22","9/11/15","4/23/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223, PART# XM223SP1PB"
"795","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",914992.65,914992.65,"9/14/15","5/2/23","9/14/15","4/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER, 62-GR, STANDARD DUTY AMMUNITION, PART# XM223SP1PB, 900 ROUNDS PER CASE"
"796","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",914992.65,914992.65,"9/15/15","5/3/23","9/15/15","4/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER, 62-GR STANDARD DUTY AMMUNITION, PART# XM223SP1PB"
"797","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",438.2,438.2,"9/17/15","2/11/16","9/17/15","1/17/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12GA 7.5 TARGET (PART # TGL-12-7.5)"
"798","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",482.96,482.96,"9/28/15","3/5/20","9/28/15","4/1/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P (124 GR) GDHP AMMUNITION, PART # 53927"
"799","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",138616.8,138616.8,"9/18/15","5/3/23","9/18/15","7/29/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER S&W, 180 GR JHP PN XM40HC"
"800","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",139606.92,139606.92,"9/18/15","5/3/23","9/18/15","7/29/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC"
"801","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",618825,618825,"9/25/15","7/13/21","9/28/15","9/4/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC"
"802","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",843700,843700,"9/16/15","5/3/23","9/16/15","4/30/16","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION FOR CBP-OBP"
"803","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",618825,NA,"9/25/15","10/25/16","9/28/15","9/4/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W, 180 GR JHP XM40HC"
"804","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",83856.64,83856.64,"9/17/15","4/14/16","9/17/15","3/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::OT::IGF FEDERAL 12 GA STANDARD VELOCITY 00 BUCKSHOT FOR CBP/OFO. THE COST OF $109.76 PER 250 RDS. P/N ZLE127 00DHS."
"805","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",74506.53,74506.53,"9/23/15","2/26/18","9/23/15","8/3/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 301,000 ROUNDS OF.40 CALIBER  S&W, 180 GR JHP;XM40HC. P/N XM40HC UNDER CONTRACT#HSCEMS-12-D-00001. AMMUNITION FOR FPS"
"806","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2414.8,NA,"9/21/15","1/4/17","9/21/15","4/29/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM 124 GR AMMUNITION, PART # 53927"
"807","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",243667.2,243667.2,"9/24/15","11/2/16","9/25/15","4/6/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::OT::IGF  FEDERAL 12 GA STANDARD VELOCITY 00 BUCKSHOT"
"808","QUALIFICATION TARGETS INC","MISCELLANEOUS PRINTED MATTER",9215,9215,"9/20/16","9/20/16","9/20/16","10/19/16","MINNESOTA","SPORTING AND ATHLETIC GOODS MANUFACTURING","QUALIFICATION TARGETS"
"809","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",17980.63,NA,"7/15/16","11/9/16","7/15/16","10/31/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"810","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",307887.5,307887.5,"7/19/16","12/12/17","7/19/16","9/29/16","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"811","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",5039.4,NA,"6/14/16","11/28/16","6/14/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER S&W 180 GRAIN AMMUNITION. PART# XM40HC."
"812","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",12598.5,NA,"6/2/16","4/27/17","6/2/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W 180 GRAIN AMMUNITION; P/N:XM40HC"
"813","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1261.04,1261.04,"8/2/16","8/2/16","7/28/16","1/13/17","VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P 135 GRAIN ,1000 ROUNDS PER CASE .PART# 53925."
"814","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",5039.4,5039.4,"6/10/16","6/10/16","6/10/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W (180 GRAIN) JHP AMMUNITION"
"815","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",442.6,442.6,"6/15/16","6/15/16","6/15/16","11/29/16","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA TARGET, PART # TGL 12 7.5"
"816","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",21189.44,21189.44,"6/14/16","6/14/16","6/14/16","10/31/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: .223 55 GRAIN CASES: 46 @ 1000 ROUNDS PER CASE PER CASE: $460.64 CONTRACT: HSFLGL-16-D-00001 PART #BC223NT5A TOTAL AMMUNITION: 46,000 ROUNDS"
"817","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",246310,246310,"7/11/16","12/19/17","7/11/16","1/22/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"818","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",123155,123155,"7/11/16","12/8/17","7/11/16","2/15/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"819","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",92128,92128,"6/16/16","9/28/16","6/16/16","10/31/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","CASES:  200 @ 1000 ROUNDS PER CASE PART #BC223NT5A PER CASE:  $460.64 CONTRACT:  HSFLGL-16-D-00001 ALTERNATE COR:  PHILIP QUIGLEY TOTAL AMMUNITION: 200,000 ROUNDS"
"820","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",709043.58,709043.58,"6/24/16","8/7/19","6/24/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 SMITH&WESSON CALIBER (180 GRAIN), PART #XM4OHC"
"821","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",30807,30807,"6/22/16","9/19/16","6/22/16","4/11/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 77 GRAIN BTHP AMMUNITION."
"822","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",13278,13278,"6/23/16","10/4/16","6/23/16","11/29/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA TARGET, PART # TGL 12 7.5"
"823","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",13819.2,NA,"6/30/16","3/28/17","6/21/16","10/21/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REM 55 GRAIN  AMMUNITION"
"824","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",18426,NA,"6/23/16","3/28/17","6/23/16","10/28/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 S&W, 125 GRAIN AMMUNITION, P/N BC40CT1"
"825","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",54057.36,54057.36,"7/6/16","4/27/17","7/6/16","12/9/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 12-GAUGE #00 BUCKSHOT AMMO"
